gene	syn	description	protein	fun_desc	essential
uvrD	"dar-2, dda, mutU, pdeB, rad, recL, srjC, uvr502, uvrE"	ATP-dependent 3'-5' DNA helicase II; unwinds forked DNA structures; dismantles the RecA nucleoprotein filament; increased rates of spontaneous mutagenesis; dimer	DNA-dependent ATPase I and helicase II	"Enzyme; DNA - replication, repair, restriction/modification"	N
uvrY	"gacA, sirA(S.t.), yecB"	"Response regulator, pleiotropic; controls the expression of csrB/C sRNAs; hydrogen peroxide resistance; cognate sensor regulator is BarA"	DNA-binding response regulator in two-component regulatory system with BarA	Putative regulator; Not classified	N
uxaA	ygjW	"D-Altronate hydrolase (hydratase), Fe(2)-requiring; galacturonate branch of hexuronate pathway"	altronate hydrolase	Enzyme; Degradation of small molecules: Carbon compounds	N
uxaB	None	"D-Altronate oxidoreductase, NAD-dependent; galacturonate branch of hexuronate pathway"	"altronate oxidoreductase, NAD-dependent"	Enzyme; Degradation of small molecules: Carbon compounds	N
uxaC	"ygjX, ygjY, ygjZ"	Uronate isomerase; galacturonate branch of hexuronate pathway	uronate isomerase	Enzyme; Degradation of small molecules: Carbon compounds	N
uxuA	None	D-Mannonate dehydratase (hydrolase); Fe(2)-requiring; glucuronate branch of hexuronate pathway	mannonate hydrolase	Enzyme; Degradation of small molecules: Carbon compounds	N
uxuB	None	"D-Mannonate oxidoreductase, NAD-dependent; glucuronate branch of hexuronate pathway"	"D-mannonate oxidoreductase, NAD-dependent"	Enzyme; Degradation of small molecules: Carbon compounds	N
uxuR	None	Repressor for UxuR regulon; true inducer is fructuronate	DNA-binding transcriptional repressor	Regulator; Degradation of small molecules: Carbon compounds	N
valS	val-act	Valine--tRNA ligase	valyl-tRNA synthetase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	Y
valT	None	Valine tRNA(UAC) 1; duplicate gene with triplicated valUXY	Null	Null	N
valU	valUalpha	Valine tRNA(UAC) 1; tandemly triplicate	Null	Null	N
valV	None	Valine tRNA(GAC) 2B	Null	Null	N
valW	None	Valine tRNA(GAC) 2A	Null	Null	N
valX	valUbeta	Valine tRNA(UAC) 1; tandemly triplicate	Null	Null	N
valY	valUgamma	Valine tRNA(UAC) 1; tandemly triplicate	Null	Null	N
valZ	None	Valine tRNA(UAC) 1	Null	Null	N
ves	ydjR	"Cold and stress-inducible protein, function unknown"	conserved protein	Null	N
viaA	"yieD, yieM"	Stimulator of RavA ATPase activity	predicted von Willibrand factor containing protein	Null	N
visC	None	"Putative FAD-dependent oxidoreductase, function unknown; downstream of and homologous to ubiH (visB)"	predicted oxidoreductase with FAD/NAD(P)-binding domain	Null	N
vsr	None	"Mismatch nicking endonuclease, helps repair TG mismatches"	DNA mismatch endonuclease of very short patch repair	Enzyme; Degradation of DNA	N
waaA	kdtA	3-deoxy-D-manno-octulosonate(Kdo)-lipid A transferase	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)	Enzyme; Surface polysaccharides & antigens	N
waaB	"lps, phx*, rfaB, syn*"	"UDP-D-galactose:glucosylLPS-alpha-1,3-D-galactosyltransferase"	"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase"	Enzyme; Surface polysaccharides & antigens	N
waaC	"rfaC, yibC"	LPS heptosyltransferase I; LPS core biosynthesis; transfers innermost heptose to KDO	ADP-heptose:LPS heptosyl transferase I	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
waaF	rfaF	ADP-heptose:LPS heptosyltransferase II	ADP-heptose:LPS heptosyltransferase II	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
waaG	rfaG	LPS core biosynthesis; glucosyltransferase I	glucosyltransferase I	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
waaJ	"rfaJ, waaR"	UDP-D-glucose: (galactosyl)LPS-glucosyltransferase	UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase	Enzyme; Surface polysaccharides & antigens	N
waaL	rfaL	LPS core biosynthesis; O-antigen ligase	O-antigen ligase	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
waaM	"htrB, lpxL"	"Lipid A synthesis, KDO2-lipid IVA lauroyl-ACP acyltransferase; not under heat shock regulation; membrane protein affecting cell division, growth, and high-temperature survival"	lauryl-acyl carrier protein (ACP)-dependent acyltransferase	"Factor; Adaptations, atypical conditions"	N
waaN	"lpxM, mlt, msbB"	"Lipid A synthesis, KDO2-lauroyl-lipid IVA myristoyl-ACP acyltransferase"	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase	"Putative factor; Adaptations, atypical conditions"	N
waaP	rfaP	Lipopolysaccharide kinase; LPS core biosynthesis; phosphorylation of core	kinase that phosphorylates core heptose of lipopolysaccharide	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
waaQ	rfaQ	Glycosyltransferase needed for heptose region of LPS core	lipopolysaccharide core biosynthesis protein	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
waaR	"rfaI, waaI(S.t.), waaJ(S.t.)"	"UDP-D-galactose: (glucosyl)LPS-1,3-D-galactosyltransferase"	"UDP-D-galactose:(glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase"	Enzyme; Surface polysaccharides & antigens	N
waaS	rfaS	"LPS core, not affecting attachment of O antigen"	lipopolysaccharide core biosynthesis protein	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
waaU	"rfaK, waaK(S.t.)"	Adds terminal GlcNac side branch to the lipopolysaccharide core prior to attachment of the O antigen; not the same as Salmonella rfaK	lipopolysaccharide core biosynthesis	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
waaY	rfaY	LPS core biosynthesis	lipopolysaccharide core biosynthesis protein	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
waaZ	rfaZ	"2,4 Kdo transferase, required for the addition of KdoIII; LPS core biosynthesis,"	lipopolysaccharide core biosynthesis protein	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
wbbH	"rfc, yefF"	O-antigen polymerase	O-antigen polymerase	Enzyme; Macromolecule metabolism: Lipopolysaccharide	N
wbbI	yefG	"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase; involved in lipopolysaccharide biosynthesis"	"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase"	Enzyme; Lipopolysaccharide biosynthesis	N
wbbJ	yefH	Predicted lipopolysaccharide biosynthesis O-acetyl transferase; involved in lipopolysaccharide biosynthesis	predicted lipopolysaccharide biosynthesis O-acetyl transferase	Putative enzyme; Not classified	N
wbbK	yefI	Involved in lipopolysaccharide biosynthesis	lipopolysaccharide biosynthesis protein	Putative enzyme; Not classified	N
wcaA	None	Putative colanic acid biosynthesis glycosyl transferase	predicted glycosyl transferase	Putative regulator; Not classified	N
wcaB	None	Predicted colanic acid biosynthesis acetyltransferase	predicted acyl transferase	Putative enzyme; Not classified	N
wcaC	None	Putative colanic acid biosynthesis glycosyl transferase	predicted glycosyl transferase	Putative enzyme; Not classified	N
wcaD	None	Putative colanic acid polymerase	predicted colanic acid polymerase	Putative enzyme; Phage-related functions and prophages	N
wcaE	None	Predicted colanic acid biosynthesis glycosyl transferase; required for swarming phenotype	predicted glycosyl transferase	Putative enzyme; Not classified	N
wcaF	None	Predicted colanic acid biosynthesis acetyltransferase	predicted acyl transferase	Putative enzyme; Not classified	N
wcaG	"fcl, yefB"	"NADPH-dependent GDP-L-fucose synthase, colanic acid synthesis; two step reaction at a single active site: GDP-4-keto-6-deoxy-D-mannose epimerase, then reductase"	bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase/ GDP-4-dehydro-6-L-deoxygalactose reductase	Null	N
wcaH	"gmm, nudD, yefC"	GDP-mannose mannosyl hydrolase; homodimeric	GDP-mannose mannosyl hydrolase	"Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions"	N
wcaI	yefD	Putative colanic acid biosynthesis glycosyl transferase	predicted glycosyl transferase	Putative enzyme; Not classified	N
wcaJ	None	Colanic biosynthesis UDP-glucose lipid carrier transferase	colanic biosynthesis UDP-glucose lipid carrier transferase	Putative enzyme; Not classified	N
wcaK	None	Colanic acid biosynthesis protein	Colanic acid biosynthesis protein	Putative enzyme; Not classified	N
wcaL	yefL	Putative colanic acid biosynthesis glycosyl transferase	predicted glycosyl transferase	Putative enzyme; Not classified	N
wcaM	yefK	Colanic acid biosynthesis protein	colanic acid biosynthesis protein	Null	N
wcaN	galF	Putative regulatory subunit for GalU	putative regulatory subunit for GalU	"Putative enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions"	N
wecA	rfe	"UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-P transferase; ECA and O-antigen synthesis, tunicamycin sensitivity"	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase	"Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions|1.6.4 metabolism; macromolecules (cellular constituent) biosynthesis; enterobacterial common antigen (surface glycolipid)|6.3 cell structure; surface antigens (ECA, O antigen of LPS)"	N
wecB	"nfrC, rffE, yifF"	UDP-GlcNAc-2-epimerase; needed for ECA (enterobacterial common antigen) synthesis	UDP-N-acetyl glucosamine-2-epimerase	"Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions|1.6.4 metabolism; macromolecules (cellular constituent) biosynthesis; enterobacterial common antigen (surface glycolipid)|6.3 cell structure; surface antigens (ECA, O antigen of LPS)"	N
wecC	"rff, rffD"	UDP-ManNAcA dehydrogenase; needed for ECA (enterobacterial common antigen) synthesis	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	"Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions"	N
wecD	"rff, rffC, yifH"	TDP-fucosamine acetyltransferase; needed for ECA (enterobacterial common antigen) synthesis; chain elongation	TDP-fucosamine acetyltransferase	Null	N
wecE	"rff, rffA, yifI"	Lipid III biosynthesis; needed for ECA synthesis	TDP-4-oxo-6-deoxy-D-glucose transaminase	"1.6.4 metabolism; macromolecules (cellular constituent) biosynthesis; enterobacterial common antigen (surface glycolipid)|6.3 cell structure; surface antigens (ECA, O antigen of LPS)"	N
wecF	"rff, rffT, yifM"	TDP-Fuc4NAc:Lipid II transferase; needed for ECA (enterobacterial common antigen) synthesis	TDP-Fuc4NAc:lipidIIFuc4NAc transferase	Null	N
wecG	"rff, rffM"	UDP-ManNAcA transferase; needed for ECA (enterobacterial common antigen) synthesis	UDP-N-acetyl-D-mannosaminuronic acid transferase	"Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions|1.6.4 metabolism; macromolecules (cellular constituent) biosynthesis; enterobacterial common antigen (surface glycolipid)|6.3 cell structure; surface antigens (ECA, O antigen of LPS)"	N
wecH	yiaH	O-acetyltransferase for enterobacterial common antigen (ECA)	O-acetyltransferase for enterobacterial common antigen (ECA)	Null	N
wrbA	None	"NAD(P)H:quinone oxidoreductase, type IV NQO; may protect against oxidative stress; dimeric, binds one FMN per monomer"	NAD(P)H:quinone oxidoreductase	Enzyme; Not classified	N
wza	None	Outer membrane auxillary lipoprotein (OMA) Wza; needed for capsular polysaccharide translocation through outer membrane	lipoprotein required for capsular polysaccharide translocation through the outer membrane	Putative transport; Not classified	N
wzb	None	Phosphotyrosine-protein phosphatase Wzb; activates colanic acid synthesis for capsule production by dephosphorylating Wzc-P; mutants do not make capsules; induced by AI-2 pheromone	protein-tyrosine phosphatase	Putative enzyme; Not classified	N
wzc	None	"Autophosphorylating protein tyrosine kinase Wzc, a regulator of capsule production; mutants do not make capsules; cognate with Wzb phosphatase; phosphorylates Ugd"	protein-tyrosine kinase	Null	N
wzxB	"rfbX, wzx"	Predicted polisoprenol-linked O-antigen translocase; hyperlethality gene	predicted polisoprenol-linked O-antigen transporter	Putative transport; Surface polysaccharides & antigens	N
wzxC	wzx	Predicted colanic acid translocase	predicted colanic acid exporter	"Putative transport; Protein, peptide secretion"	N
wzxE	"wzx, yifJ"	O-antigen translocase; involved in the cross-membrane translocation of the UDP-linked ECA trisaccharide repeat unit of cyclic enterobacterial common antigen ECA(CYC)	O-antigen translocase	Putative carrier; Not classified	N
wzyE	rffT	Wzy protein involved in ECA polysaccharide chain elongation; involved in polymerization of the UDP-linked ECA trisaccharide repeat unit of cyclic enterobacterial common antigen ECA(CYC)	predicted Wzy protein involved in ECA polysaccharide chain elongation	"Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions|1.6.4 metabolism; macromolecules (cellular constituent) biosynthesis; enterobacterial common antigen (surface glycolipid)|6.3 cell structure; surface antigens (ECA, O antigen of LPS)"	N
wzzB	"cld, rol, wzz"	Regulator of lipopolysaccharide O-chain length; gene studied in Salmonella and non-K-12 strains	regulator of length of O-antigen component of lipopolysaccharide chains	Regulator; Outer membrane constituents	N
wzzE	"metNSt, wzz, yifC"	Enterobacterial common antigen ECA chain length determination; also involved in cyclic enterobacterial common antigen ECA(CYC) synthesis	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein	"Putative transport; Not classified|1.6.4 metabolism; macromolecules (cellular constituent) biosynthesis; enterobacterial common antigen (surface glycolipid)|6.3 cell structure; surface antigens (ECA, O antigen of LPS)"	N
xanP	yicE	Xanthine permease	xanthine permease	"Transport; Transport of small molecules: Nucleosides, purines, pyrimidines"	N
xanQ	ygfO	Xanthine permease	xanthine permease	"Transport; Transport of small molecules: Nucleosides, purines, pyrimidines"	N
xapA	pndA	Xanthosine phosphorylase; purine nucleoside phosphorylase II; hexameric	purine nucleoside phosphorylase II	Enzyme; Central intermediary metabolism: Nucleotide interconversions	N
xapB	None	Xanthosine transporter	xanthosine transporter	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
xapR	"pRndR, yfeB"	Regulatory gene for xapAB	DNA-binding transcriptional activator for for xapAB	Regulator; Central intermediary metabolism: Nucleotide interconversions	N
xdhA	ygeS	Xanthine dehydrogenase molybdenum-binding subunit; involved in limited purine catabolism; mutation confers adenine sensitivity	"xanthine dehydrogenase, molybdenum binding subunit"	Null	N
xdhB	ygeT	Xanthine dehydrogenase FAD-binding subunit; involved in limited purine catabolism	"xanthine dehydrogenase, FAD-binding subunit"	Putative enzyme; Not classified	N
xdhC	ygeU	Iron-sulfur binding xanthine dehydrogenase subunit; involved in limited purine catabolism	"xanthine dehydrogenase, Fe-S binding subunit"	Putative enzyme; Not classified	N
xdhD	ygfN	"Probable hypoxanthine oxidase, Fe-S subunit; mutation confers adenine sensitivity"	"probable hypoxanthine oxidase, molybdopterin-binding/Fe-S binding"	Putative enzyme; Not classified	N
xerC	None	Tyrosine recombinase XerCD resolves chromosome dimers; site-specific	site-specific tyrosine recombinase	Enzyme; Cell division	N
xerD	xprB	Tyrosine recombinase XerCD resolves chromosome dimers; site-specific	site-specific tyrosine recombinase	"Enzyme; DNA - replication, repair, restriction/modification"	N
xisE	"Vxis, ymfG"	"e14 excisionase, in defective prophage"	e14 prophage; predicted excisionase	Phage or Prophage Related	N
xseA	xse	"Exonuclease VII, large subunit"	"exonuclease VII, large subunit"	Enzyme; Degradation of DNA	N
xseB	yajE	"Exonuclease VII, small subunit"	exonuclease VII small subunit	Enzyme; Degradation of DNA	N
xthA	xth	Exodeoxyribonuclease III and AP endodeoxyribonuclease VI; RNase H activity; DNA repair	exonuclease III	Enzyme; Degradation of DNA	N
xylA	None	D-Xylose isomerase	D-xylose isomerase	Enzyme; Degradation of small molecules: Carbon compounds	N
xylB	None	D-xylulose kinase	xylulokinase	Enzyme; Degradation of small molecules: Carbon compounds	N
xylE	None	Xylose/H+ symporter	D-xylose transporter	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
xylF	xylT	"Periplasmic xylose-binding protein, transport system"	D-xylose transporter subunit	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
xylG	None	"D-Xylose ABC transporter ATP-binding subunit, fused tandem domains"	fused D-xylose transporter subunits of ABC superfamily: ATP-binding components	Transport; Sugar metabolism	N
